"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-14","72","90","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-15","76","91","60"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-16","73","92","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-17","73","93","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-18","75","90","59"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-19","69","84","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-20","66","78","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-21","66","83","49"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-22","72","90","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-23","79","96","62"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-24","83","93","73"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-25","79","95","62"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-26","75","89","61"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-27","72","89","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-28","67","84","50"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-29","73","89","56"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-30","70","83","56"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-31","69","80","57"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-01","63","71","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-02","56","65","47"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-03","56","68","44"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-04","60","73","47"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-05","56","64","48"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-06","56","69","42"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-07","64","79","49"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-08","67","80","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-09","56","67","44"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-10","60","73","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-11","63","78","48"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-12","73","89","57"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-13","75","91","58"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-14","84","101","67"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-15","75","90","59"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-16","71","85","56"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-17","71","83","58"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-18","70","86","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-19","70","81","59"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-20","63","77","48"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-21","59","70","47"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-22","50","57","42"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-23","47","60","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-24","53","70","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-25","59","74","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-26","60","75","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-27","63","79","47"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-28","67","79","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-29","63","78","47"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-09-30","66","79","52"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-01","64","74","53"
